date,matcha,matcha latte,isPartial
2025-05-18,77,7,False
2025-05-25,78,7,False
2025-06-01,81,7,False
2025-06-08,79,7,False
2025-06-15,75,6,False
2025-06-22,79,7,False
2025-06-29,75,6,False
2025-07-06,82,7,False
2025-07-13,84,7,False
2025-07-20,89,7,False
2025-07-27,94,8,False
2025-08-03,100,8,False
2025-08-10,94,8,False
2025-08-17,90,8,False
2025-08-24,89,8,False
2025-08-31,86,8,False
2025-09-07,81,7,False
2025-09-14,80,6,False
2025-09-21,77,6,False
2025-09-28,76,6,False
2025-10-05,73,6,False
2025-10-12,73,5,False
2025-10-19,72,6,False
2025-10-26,64,5,False
2025-11-02,69,5,False
2025-11-09,72,5,False
2025-11-16,69,5,False
2025-11-23,73,5,False
2025-11-30,69,6,False
2025-12-07,68,5,False
2025-12-14,66,5,False
2025-12-21,65,6,False
2025-12-28,67,5,False
2026-01-04,69,6,False
2026-01-11,72,6,False
2026-01-18,68,6,False
2026-01-25,69,7,False
2026-02-01,77,8,False
2026-02-08,85,12,False
2026-02-15,93,14,False
2026-02-22,82,10,False
2026-03-01,76,6,False
2026-03-08,78,7,False
2026-03-15,75,6,False
2026-03-22,80,7,False
2026-03-29,80,6,False
2026-04-05,80,7,False
2026-04-12,82,7,True
